original_line,token_ids,decoded_line
Tzu-Yu Lin (林子玉) 愛丁堡大學比較文學博士候選人 華威大學翻譯與比較文學碩士班畢業（主修殖民與後殖民文學）,"[32000, 204, 26085, 25450, 25359, 26264, 25450, 24513, 13, 25809, 25356, 26442, 25336, 1972, 26577, 26975, 70, 134, 685, 1464, 8578, 2382, 26207, 70, 2056, 25346, 134, 685, 20164, 883, 0, 21748, 7242, 25346, 25368, 7242, 685, 0]",Tzu-Yu Lin (林子玉) 愛丁堡大學比較文學博士候選人 華威大學翻譯與比較文學碩士班畢業主修殖民與後殖民文學
我猜跟金銀角的寶具葫蘆有關,"[32000, 24, 27418, 25738, 23801, 10294, 25905, 25696, 13833, 600]",我猜跟金銀角的寶具葫蘆有關
這些措施，促進了蒙古經濟、文化的興旺發達。,"[32000, 1723, 2032, 0, 1470, 25303, 6745, 165, 25295, 4385, 26018, 27247, 7619, 25292]",這些措施促進了蒙古經濟、文化的興旺發達。
就像父母親對小孩一樣，願意義無反顧地為她付出一切，確不求回報,"[32000, 8863, 19845, 25358, 1260, 157, 0, 26277, 1117, 25438, 25841, 26188, 25343, 13243, 3982, 924, 0, 25894, 21096, 5528]",就像父母親對小孩一樣願意義無反顧地為她付出一切確不求回報
《觀念化學Ⅳ》是最實用的化學書，幫助你享受美好的生活！,"[32000, 445, 1963, 1601, 0, 25601, 2957, 8328, 1601, 25514, 0, 10870, 683, 3759, 38, 0]",《觀念化學》是最實用的化學書幫助你享受美好的生活
這些「力量藥草」，透過火的轉化，釋放出具有強力淨化能力的煙霧。,"[32000, 1723, 25347, 895, 26069, 26116, 25366, 0, 218, 14099, 4350, 0, 20686, 448, 8872, 9849, 9763, 16854, 25292]",這些「力量藥草」透過火的轉化釋放出具有強力淨化能力的煙霧。
同時，運用大數據的分析，提升了審批時效，保障了輸出結果。,"[32000, 2201, 0, 1016, 4792, 22552, 0, 22165, 10575, 25317, 25774, 0, 1432, 25303, 3960, 400, 25292]",同時運用大數據的分析提升了審批時效保障了輸出結果。
智慧衣的設計重點在符合人性及穿著者的適應性，其穿著是需要多面向考量的，異業結合及跨領域整合是未來的趨勢，智慧衣的專利分類由已功能性紡織品轉入智能性紡織品，顯示半導體和紡織業結合資通訊技術早已在專利布局之中。,"[32000, 10496, 25983, 1872, 786, 25299, 1000, 5471, 25386, 2386, 901, 2978, 25421, 0, 25436, 2386, 16749, 25349, 3922, 25758, 2733, 0, 26183, 25370, 676, 25386, 21125, 920, 25294, 3128, 1447, 0, 357, 25983, 25291, 2596, 1573, 25543, 25548, 25060, 9780, 25385, 25271, 1291, 25421, 9780, 25385, 0, 543, 4329, 25332, 9780, 25370, 676, 25445, 2113, 82, 3160, 25299, 2596, 4836, 1560, 25292]",智慧衣的設計重點在符合人性及穿著者的適應性其穿著是需要多面向考量的異業結合及跨領域整合是未來的趨勢智慧衣的專利分類由已功能性紡織品轉入智能性紡織品顯示半導體和紡織業結合資通訊技術早已在專利布局之中。
有兩處溫泉、庭園、土特產店，還可以優惠價租借滑雪用具。,"[32000, 161, 25561, 25616, 2062, 25295, 10387, 25295, 26130, 20059, 25542, 0, 2287, 4610, 16466, 10493, 7558, 25292]",有兩處溫泉、庭園、土特產店還可以優惠價租借滑雪用具。
這個是有一些方法，並不是完全亂來，我想這邊要的只是看起來是有一個最高限跟最低限，在呈報的時候會比較容易。,"[32000, 1356, 25294, 4257, 315, 0, 2285, 330, 26215, 25318, 0, 1400, 4751, 23816, 225, 1528, 25294, 1945, 1021, 25755, 25738, 3352, 25755, 0, 25299, 26622, 25677, 227, 9851, 349, 25292]",這個是有一些方法並不是完全亂來我想這邊要的只是看起來是有一個最高限跟最低限在呈報的時候會比較容易。
